iter	PRAUC	Logloss
161	0.8340725316	0.5483757982
162	0.8345157931	0.5479534634
163	0.8349789561	0.547430067
164	0.8351347948	0.5472018883
165	0.8351731612	0.5471800827
166	0.8356559956	0.5468218441
167	0.8358476947	0.546624716
168	0.8361332598	0.5462787618
169	0.8367185293	0.5457379803
170	0.8372010443	0.545299093
171	0.8371267058	0.5452775043
172	0.8375877122	0.5448744845
173	0.8379070284	0.5444246048
174	0.838400896	0.5440026876
175	0.8390133737	0.5434157001
176	0.8398030569	0.5427169135
177	0.8402415284	0.542412762
178	0.8407607242	0.5417510042
179	0.8410535365	0.5411760148
180	0.841454094	0.5407866526
181	0.8416900797	0.5403370183
182	0.8421646612	0.5399263782
183	0.8424602682	0.539604497
184	0.8428171013	0.53916844
185	0.8434642931	0.5384384233
186	0.8441800375	0.5377623299
187	0.84463911	0.53724873
188	0.8451533148	0.5367563514
189	0.8458182898	0.5360290726
190	0.8465408607	0.5353164128
191	0.8472554765	0.5347091196
192	0.8476670231	0.5342894208
193	0.8480774389	0.5340016191
194	0.8487114447	0.5335031522
195	0.8491642201	0.5330576959
196	0.8494493787	0.532666758
197	0.8499458154	0.5320837421
198	0.8507155692	0.5312118212
199	0.8511705414	0.5307014907
200	0.8518223493	0.530002966
201	0.8524109186	0.5292402427
202	0.8530089222	0.5286362086
203	0.8530629745	0.5283896391
204	0.8540661803	0.5274530091
205	0.8548208615	0.5269195372
206	0.8552569888	0.5261748717
207	0.8558439727	0.5256180758
208	0.8565333838	0.5250175997
209	0.857351777	0.5242576363
210	0.8581184169	0.5235177259
211	0.8585452325	0.5230368195
212	0.859068709	0.5223834861
213	0.8595703459	0.5218303812
214	0.8600890747	0.5212397942
215	0.8605637209	0.5206809098
216	0.861397062	0.5199165112
217	0.862207975	0.5192325954
218	0.8633356524	0.5179132129
219	0.8640426591	0.5171273783
220	0.8646199051	0.5164925778
221	0.865377507	0.5157950289
222	0.8657620973	0.5152379385
223	0.8664325935	0.5144923023
224	0.8669140931	0.5139676024
225	0.8675452937	0.5133807348
226	0.8677223739	0.513062723
227	0.8685023095	0.5122218459
228	0.868904253	0.5116644502
229	0.8696126269	0.5109771884
230	0.8702498595	0.5102314922
231	0.870708647	0.5097425992
232	0.8711728831	0.5091646082
233	0.8714830999	0.5088211882
234	0.8722513311	0.5078500513
235	0.8728573805	0.5070383283
236	0.8732337852	0.5065266472
237	0.8740723529	0.5057608097
238	0.8746512851	0.5050668149
239	0.8755310319	0.5041592532
240	0.8759617141	0.5035700879
241	0.8769978119	0.502464346
242	0.8772469217	0.5021891982
243	0.8777807254	0.5015561297
244	0.8784252239	0.5007123572
245	0.8789756292	0.5000738993
246	0.8793622306	0.4994557925
247	0.8799432722	0.4987218561
248	0.8805151265	0.4980746336
249	0.8812967569	0.4972955485
250	0.8819656037	0.4965061582
251	0.882375207	0.4960958088
252	0.8828328195	0.4953958783
253	0.8833144323	0.4946721279
254	0.8837030924	0.4942051829
255	0.8842151589	0.4935526029
256	0.884440924	0.4931627141
257	0.8848883565	0.4927554348
258	0.8855806611	0.4918554197
259	0.8860568156	0.4912329809
260	0.8866968022	0.4905576369
261	0.887057882	0.489982267
262	0.8876052493	0.4893296453
263	0.8880581502	0.4886873608
264	0.8884575741	0.4881097856
265	0.8890282663	0.4872907743
266	0.8893719511	0.4867604516
267	0.8895620831	0.4864288771
268	0.8900324178	0.4858511554
269	0.8903469245	0.4854293607
270	0.8906164344	0.4848661815
271	0.890791447	0.4845497869
272	0.8911387888	0.4839604918
273	0.8916343658	0.4834315224
274	0.8919318085	0.4830295085
275	0.8923613147	0.4826284847
276	0.8926028942	0.4823317419
277	0.8928339281	0.4820781271
278	0.8931633015	0.4815319541
279	0.8936139723	0.4809914963
280	0.8940087387	0.4803372727
281	0.8943460844	0.4798764533
282	0.8947987233	0.4792648679
283	0.8952076202	0.4787471374
284	0.8955860012	0.4783229408
285	0.8958997988	0.4777221965
286	0.8963188841	0.4770330403
287	0.8968344923	0.4762799909
288	0.8973724425	0.4753656269
289	0.8975730185	0.4749899254
290	0.8980727888	0.4743549507
291	0.8984606689	0.4738521644
292	0.8985216724	0.473579216
293	0.8989850985	0.472941496
294	0.8996210477	0.4722057952
295	0.9000831533	0.4715210607
296	0.9005175845	0.4709857469
297	0.9009192366	0.4705012814
298	0.901380828	0.46996625
299	0.901671052	0.4694452858
300	0.901923402	0.4690721141
301	0.9023015187	0.4685582134
302	0.9027379902	0.4680695919
303	0.9031358149	0.4674754042
304	0.9035472307	0.4668554831
305	0.9039282302	0.4662780276
306	0.9042043306	0.4659502625
307	0.9045688591	0.4655467183
308	0.9049909904	0.4650012662
309	0.9055325627	0.4643642408
310	0.9056682252	0.4640669202
311	0.9061386726	0.4634856012
312	0.9062463335	0.4631967441
313	0.906598247	0.4627315451
314	0.907213104	0.4619917744
315	0.9077689525	0.4612580609
316	0.9081613517	0.4606683188
317	0.9085760577	0.4601155892
318	0.9091188036	0.4594563069
319	0.9094299642	0.4588099052
320	0.9097308057	0.4583935248
321	0.9100897186	0.4579215991
322	0.9102781904	0.4575526717
323	0.9104689392	0.4572621624
324	0.9109176752	0.4566618495
325	0.911238593	0.4561293314
326	0.9115426164	0.4558094919
327	0.9118631836	0.4552502797
328	0.9122655218	0.4547305313
329	0.912442853	0.4544370605
330	0.9128174144	0.4539870594
331	0.9132644554	0.4533658281
332	0.9136254177	0.4528549943
333	0.9138904975	0.4524683598
334	0.9142671775	0.4519556616
335	0.9145646311	0.4515795416
336	0.9149011322	0.4510019043
337	0.915101627	0.4505756535
338	0.9154498424	0.4501261542
339	0.9156949771	0.4497936891
340	0.9160058575	0.4493404569
341	0.9162900242	0.4489610055
342	0.9164610585	0.4486612702
343	0.9164985003	0.4484162744
344	0.9168138002	0.4479551897
345	0.917089645	0.4475918828
346	0.9172850668	0.4471459126
347	0.9174983779	0.4467823843
348	0.9178743346	0.4461787999
349	0.9182326328	0.4456825977
350	0.9184936172	0.4452698144
351	0.9187772609	0.444841534
352	0.9189083761	0.4445574709
353	0.919318497	0.4440291521
354	0.9197539374	0.4432930903
355	0.9198968387	0.4430188729
356	0.9200421119	0.4426217713
357	0.9204048925	0.4421067794
358	0.9205343964	0.4418696154
359	0.9209713372	0.4414297314
360	0.9212470199	0.440952186
361	0.92137996	0.4407560614
362	0.9218799028	0.4401664173
363	0.9220465157	0.4398514464
364	0.9222063174	0.4396255608
365	0.9224847146	0.4391308668
366	0.9227154644	0.4386223427
367	0.9230709082	0.438157739
368	0.9232121058	0.4378473419
369	0.9235755649	0.4371934732
370	0.9238307097	0.4367333882
371	0.9238905553	0.4365703184
372	0.924075302	0.436299358
373	0.9243286087	0.4359244531
374	0.9245377256	0.4355692577
375	0.9249211863	0.4350236076
376	0.9252304543	0.4345407426
377	0.9255832336	0.4338553793
378	0.9260298027	0.4333574616
379	0.9260844488	0.4332077721
380	0.926252297	0.4329916047
381	0.9265798127	0.4325176991
382	0.9269029425	0.4320729287
383	0.9272159886	0.4315757792
384	0.927482475	0.4312030188
385	0.9276731779	0.4308967172
386	0.9279039992	0.4304347038
387	0.9280924804	0.4299899182
388	0.9283051337	0.4296318119
389	0.928418005	0.4294191361
390	0.9284756072	0.4293192274
391	0.9288438358	0.4287107219
392	0.9290230931	0.428244947
393	0.9293336624	0.4277977887
394	0.929682266	0.4273271368
395	0.9298915538	0.4268982653
396	0.9301208849	0.4266066636
397	0.9302416585	0.4262830373
398	0.9305172009	0.4258467145
399	0.9306669796	0.42553681
